user_id,day,item_type,rank,song_name,artist_name,item_uri,popularity,simulated_feedback
user_study_participant_1,1,Listened,1,whatever cost,giant panda guerilla dub squad,simulated_uri:-1533328647854902149,66,
user_study_participant_1,1,Listened,2,prairie rose,roxy music,simulated_uri:7566295754602802856,91,
user_study_participant_1,1,Listened,3,you'll always find me in the kitchen at parties,jona lewie,simulated_uri:8864391394961923802,88,
user_study_participant_1,1,Listened,4,get'cha head in the game,troy,simulated_uri:-8964502262168763517,45,
user_study_participant_1,1,Listened,5,the night goes on,kenny rogers,simulated_uri:4433306618752234115,51,
user_study_participant_1,1,Listened,6,i never cared for you,willie nelson,simulated_uri:-5260509912107412046,89,
user_study_participant_1,1,Listened,7,freakin' at the freakers' ball,dr. hook,simulated_uri:-4843815967116490923,68,
user_study_participant_1,1,Listened,8,una ocacion,bubaseta,simulated_uri:-7066030419256324161,84,
user_study_participant_1,1,Listened,9,my way to you,jamey johnson,simulated_uri:8415835324874758595,37,
user_study_participant_1,1,Listened,10,grind,phish,simulated_uri:-9098170006737449082,54,
user_study_participant_1,1,Recommended,1,get real,wailing souls,simulated_uri:3123275257983543058,3,1.0
user_study_participant_1,1,Recommended,2,stay,astrud gilberto,simulated_uri:4196084776274355655,2,0.0
user_study_participant_1,1,Recommended,3,the devil don't sleep,brantley gilbert,simulated_uri:8953376155234954565,0,0.0
user_study_participant_1,1,Recommended,4,i believe (in everything),jj grey & mofro,simulated_uri:474678131499391793,0,0.0
user_study_participant_1,1,Recommended,5,thinking of you,sister sledge,simulated_uri:5528489817250549601,2,0.0
user_study_participant_1,1,Recommended,6,plastic fantastic lover,jefferson airplane,simulated_uri:2437253462298344610,0,0.0
user_study_participant_1,1,Recommended,7,on the run,pink floyd,simulated_uri:-4891930012405421767,2,0.0
user_study_participant_1,1,Recommended,8,take the moment,tony bennett,simulated_uri:3052465592701565723,0,0.0
user_study_participant_1,1,Recommended,9,cold cold world,stephen stills,simulated_uri:-648935930388930274,0,0.0
user_study_participant_1,1,Recommended,10,scatterbrain,radiohead,simulated_uri:6334158572642336530,0,0.0
user_study_participant_2,1,Listened,1,runnin' around,the b-52's,simulated_uri:-1060753773069285846,84,
user_study_participant_2,1,Listened,2,the best,wayne wonder,simulated_uri:-4693706820892421508,69,
user_study_participant_2,1,Listened,3,got to get better in a little while (with j. j. cale),eric clapton,simulated_uri:2912987279945157158,93,
user_study_participant_2,1,Listened,4,i go to sleep,cher,simulated_uri:-523594774164450475,75,
user_study_participant_2,1,Listened,5,havin' a party,southside johnny and the asbury jukes,simulated_uri:-1230216088583567042,97,
user_study_participant_2,1,Listened,6,you go to my head,gene ammons,simulated_uri:-1663534937762318134,9,
user_study_participant_2,1,Listened,7,mohammed's radio,warren zevon,simulated_uri:-9192514683898337228,86,
user_study_participant_2,1,Listened,8,stormy,santana,simulated_uri:4211176383830703541,44,
user_study_participant_2,1,Listened,9,end of the night,the doors,simulated_uri:4139663435190383541,66,
user_study_participant_2,1,Listened,10,car radio,twenty one pilots,simulated_uri:-1872508158121405161,61,
user_study_participant_2,1,Recommended,1,money,mat kearney,simulated_uri:-5097599623892469556,0,0.0
user_study_participant_2,1,Recommended,2,someone could lose a heart tonight,eddie rabbitt,simulated_uri:-1182915369328133514,0,0.0
user_study_participant_2,1,Recommended,3,in my life,"crosby, stills & nash",simulated_uri:-5941436259830600161,0,1.0
user_study_participant_2,1,Recommended,4,loungin (who do ya luv),ll cool j,simulated_uri:-5083268231789482090,0,0.0
user_study_participant_2,1,Recommended,5,get the balance right!,depeche mode,simulated_uri:-6832170199133231497,7,0.0
user_study_participant_2,1,Recommended,6,it's only right,wallows,simulated_uri:7058580303450379257,0,0.0
user_study_participant_2,1,Recommended,7,i don't mind,badfinger,simulated_uri:-6051096928625188806,0,0.0
user_study_participant_2,1,Recommended,8,start a fyah,chronixx,simulated_uri:4723201231802286525,3,0.0
user_study_participant_2,1,Recommended,9,i overlooked an orchid,mickey gilley,simulated_uri:7156628962775034878,0,0.0
user_study_participant_2,1,Recommended,10,the bells,laura nyro,simulated_uri:3284112823469040120,3,0.0
user_study_participant_3,1,Listened,1,workin me,quavo,simulated_uri:-2579630735528187425,81,
user_study_participant_3,1,Listened,2,just a dream,jimmy clanton,simulated_uri:-5840601700894046043,84,
user_study_participant_3,1,Listened,3,alone,the green,simulated_uri:-1074922838035849062,39,
user_study_participant_3,1,Listened,4,wallflower,peter gabriel,simulated_uri:-8785515922423200067,100,
user_study_participant_3,1,Listened,5,so much in love,timothy b. schmit,simulated_uri:8493761088522435028,55,
user_study_participant_3,1,Listened,6,106 beats that,wire,simulated_uri:-7634617344505392976,35,
user_study_participant_3,1,Listened,7,do you hear me now,bert jansch,simulated_uri:8030082826875223728,30,
user_study_participant_3,1,Listened,8,how are you true,cage the elephant,simulated_uri:7184061466546874587,81,
user_study_participant_3,1,Listened,9,my mic sounds nice,salt-n-pepa,simulated_uri:3395444305837643616,98,
user_study_participant_3,1,Listened,10,island,heather nova,simulated_uri:-7413844617557198763,59,
user_study_participant_3,1,Recommended,1,look at her go (feat. chris brown),t-pain,simulated_uri:678181455195878426,10,0.0
user_study_participant_3,1,Recommended,2,the big crash,eddie money,simulated_uri:-5913182754294320818,2,0.0
user_study_participant_3,1,Recommended,3,"relax, take it easy",mika,simulated_uri:1717418984874694103,1,0.0
user_study_participant_3,1,Recommended,4,factory,the vines,simulated_uri:-573118493948509822,0,0.0
user_study_participant_3,1,Recommended,5,you're my world,helen reddy,simulated_uri:-5181661041348935441,1,0.0
user_study_participant_3,1,Recommended,6,heartbeat,the knack,simulated_uri:6095138463921760124,0,0.0
user_study_participant_3,1,Recommended,7,all stood still,ultravox,simulated_uri:669897539943693286,3,1.0
user_study_participant_3,1,Recommended,8,mohabbat bhi jhoothi,mukesh,simulated_uri:774864619126401752,2,0.0
user_study_participant_3,1,Recommended,9,the old crossroads,ricky skaggs,simulated_uri:8593407197760658596,0,0.0
user_study_participant_3,1,Recommended,10,anodyne,uncle tupelo,simulated_uri:2120862476619007202,0,0.0
user_study_participant_4,1,Listened,1,lonesome town,the ventures,simulated_uri:4664473843736216261,59,
user_study_participant_4,1,Listened,2,it don't mean a thing,proleter,simulated_uri:643564273840788770,71,
user_study_participant_4,1,Listened,3,goodbye yesterday,jimmy cliff,simulated_uri:-4073113483937493345,37,
user_study_participant_4,1,Listened,4,messenger,tesseract,simulated_uri:-7353702712593535052,87,
user_study_participant_4,1,Listened,5,two night town,jason aldean,simulated_uri:2817580703526112855,67,
user_study_participant_4,1,Listened,6,use it or lose it,mötley crüe,simulated_uri:3225932928619058280,65,
user_study_participant_4,1,Listened,7,i've got no time to lose,carla thomas,simulated_uri:3776896199777757887,52,
user_study_participant_4,1,Listened,8,pretty girl,maggie lindemann,simulated_uri:-7671201496424972140,61,
user_study_participant_4,1,Listened,9,give it away,ziggy marley,simulated_uri:-5717443338700396742,28,
user_study_participant_4,1,Listened,10,without the one you love,aretha franklin,simulated_uri:-6176383814512623453,77,
user_study_participant_4,1,Recommended,1,make him a soldier,the louvin brothers,simulated_uri:-4538081615019717932,1,0.0
user_study_participant_4,1,Recommended,2,long dark road,the hollies,simulated_uri:5020746492825916347,0,0.0
user_study_participant_4,1,Recommended,3,mama this one's for you,beth hart,simulated_uri:6221987611135788499,0,0.0
user_study_participant_4,1,Recommended,4,lovers never say goodbye,the flamingos,simulated_uri:5995392985611969555,28,0.0
user_study_participant_4,1,Recommended,5,someone could lose a heart tonight,eddie rabbitt,simulated_uri:-1182915369328133514,0,0.0
user_study_participant_4,1,Recommended,6,had to fall in love,the moody blues,simulated_uri:5530219599959819313,15,1.0
user_study_participant_4,1,Recommended,7,brave man's death,j. roddy walston & the business,simulated_uri:-7406032278582409771,0,0.0
user_study_participant_4,1,Recommended,8,tyler,ub40,simulated_uri:-346692101969459783,0,0.0
user_study_participant_4,1,Recommended,9,senses working overtime,xtc,simulated_uri:474535014119293449,58,1.0
user_study_participant_4,1,Recommended,10,mother's last word to her son,washington phillips,simulated_uri:3497838992954774935,4,1.0
user_study_participant_5,1,Listened,1,don’t let me be lonely,the band perry,simulated_uri:-3659784924533872575,69,
user_study_participant_5,1,Listened,2,long time gone,darrell scott,simulated_uri:-7316819031290603230,60,
user_study_participant_5,1,Listened,3,the lion's share,dan fogelberg,simulated_uri:-3330260584458520315,59,
user_study_participant_5,1,Listened,4,paradise,resinated,simulated_uri:4189028913402907709,95,
user_study_participant_5,1,Listened,5,embraceable you,johnny mathis,simulated_uri:-7836485812736226470,59,
user_study_participant_5,1,Listened,6,it's too late,robin trower,simulated_uri:-6717345687004278472,39,
user_study_participant_5,1,Listened,7,the wind goes,marty robbins,simulated_uri:-7961334768030653330,32,
user_study_participant_5,1,Listened,8,toys in the attic,aerosmith,simulated_uri:7172396370994288527,29,
user_study_participant_5,1,Listened,9,an empty glass (that's the way the day ends),randy rogers band,simulated_uri:-361844050661324530,63,
user_study_participant_5,1,Listened,10,dreams of tomorrow,lonnie liston smith,simulated_uri:3235339155246737669,59,
user_study_participant_5,1,Recommended,1,let it rain,warrant,simulated_uri:133324828220911778,1,0.0
user_study_participant_5,1,Recommended,2,carolina moon,the chordettes,simulated_uri:-7481974899968581985,0,0.0
user_study_participant_5,1,Recommended,3,my guy,mary wells,simulated_uri:7326923315171290468,1,0.0
user_study_participant_5,1,Recommended,4,an eye for an eye,ray price,simulated_uri:50032890516369177,3,0.0
user_study_participant_5,1,Recommended,5,nice & warm,jonny lang,simulated_uri:-2628844414434301125,3,0.0
user_study_participant_5,1,Recommended,6,it's supposed to bubble,ugk,simulated_uri:-4828847110836166249,0,0.0
user_study_participant_5,1,Recommended,7,use your heart,swv,simulated_uri:-4831610292351828665,0,0.0
user_study_participant_5,1,Recommended,8,astronaut's nightmare,nektar,simulated_uri:9091429263569221137,0,0.0
user_study_participant_5,1,Recommended,9,la goutte d'or,st germain,simulated_uri:3868410265319384226,0,1.0
user_study_participant_5,1,Recommended,10,echo's answer,broadcast,simulated_uri:-7809986537780048364,0,0.0
user_study_participant_6,1,Listened,1,high sierra,dolly parton,simulated_uri:4609693322808366799,74,
user_study_participant_6,1,Listened,2,the judgment,the allman brothers band,simulated_uri:-803836528148216876,95,
user_study_participant_6,1,Listened,3,pull me under,dream theater,simulated_uri:-2988881559374002935,76,
user_study_participant_6,1,Listened,4,somewhere down the line,t.g. sheppard,simulated_uri:103754152459198429,61,
user_study_participant_6,1,Listened,5,with a little luck,wings,simulated_uri:-7111202962217303014,38,
user_study_participant_6,1,Listened,6,dear mother,jimmy cliff,simulated_uri:6165433160103856716,67,
user_study_participant_6,1,Listened,7,pop,*nsync,simulated_uri:2936408207286517491,85,
user_study_participant_6,1,Listened,8,calm inside the storm,cyndi lauper,simulated_uri:-7753046189435138105,61,
user_study_participant_6,1,Listened,9,dark entries,bauhaus,simulated_uri:5420177603893734202,99,
user_study_participant_6,1,Listened,10,stuck in the metal,eagles of death metal,simulated_uri:-5258409255863675373,80,
user_study_participant_6,1,Recommended,1,sunrise,tesseract,simulated_uri:-552878678941347178,1,0.0
user_study_participant_6,1,Recommended,2,"caroline, no",the beach boys,simulated_uri:-5961800472042304936,0,0.0
user_study_participant_6,1,Recommended,3,bye bye baby,bonnie raitt,simulated_uri:-2576161640213896470,1,0.0
user_study_participant_6,1,Recommended,4,got you on my mind,jean shepard,simulated_uri:-6317013395011091579,0,0.0
user_study_participant_6,1,Recommended,5,la goutte d'or,st germain,simulated_uri:3868410265319384226,0,0.0
user_study_participant_6,1,Recommended,6,these stones will shout,the raconteurs,simulated_uri:-8541797655744183807,0,0.0
user_study_participant_6,1,Recommended,7,a tale of 2 citiez,j. cole,simulated_uri:3087932775563967458,0,0.0
user_study_participant_6,1,Recommended,8,take on me,weezer,simulated_uri:-8457985126040443510,2,0.0
user_study_participant_6,1,Recommended,9,free,mazzy star,simulated_uri:2804606290248365680,13,1.0
