user_id;day;item_type;rank;song_name;artist_name;popularity;                  feedback
user_study_participant_1;1;Listened;1;whatever cost;giant panda guerilla dub squad;66;
user_study_participant_1;1;Listened;2;prairie rose;roxy music;91;
user_study_participant_1;1;Listened;3;you'll always find me in the kitchen at parties;jona lewie;88;
user_study_participant_1;1;Listened;4;get'cha head in the game;troy;45;
user_study_participant_1;1;Listened;5;the night goes on;kenny rogers;51;
user_study_participant_1;1;Listened;6;i never cared for you;willie nelson;89;
user_study_participant_1;1;Listened;7;freakin' at the freakers' ball;dr. hook;68;
user_study_participant_1;1;Listened;8;una ocacion;bubaseta;84;
user_study_participant_1;1;Listened;9;my way to you;jamey johnson;37;
user_study_participant_1;1;Listened;10;grind;phish;54;
user_study_participant_1;1;Recommended;1;get real;wailing souls;3;1,0
user_study_participant_1;1;Recommended;2;stay;astrud gilberto;2;0,0
user_study_participant_1;1;Recommended;3;the devil don't sleep;brantley gilbert;0;0,0
user_study_participant_1;1;Recommended;4;i believe (in everything);jj grey & mofro;0;0,0
user_study_participant_1;1;Recommended;5;thinking of you;sister sledge;2;0,0
user_study_participant_1;1;Recommended;6;plastic fantastic lover;jefferson airplane;0;0,0
user_study_participant_1;1;Recommended;7;on the run;pink floyd;2;0,0
user_study_participant_1;1;Recommended;8;take the moment;tony bennett;0;0,0
user_study_participant_1;1;Recommended;9;cold cold world;stephen stills;0;0,0
user_study_participant_1;1;Recommended;10;scatterbrain;radiohead;0;0,0
user_study_participant_2;1;Listened;1;runnin' around;the b-52's;84;
user_study_participant_2;1;Listened;2;the best;wayne wonder;69;
user_study_participant_2;1;Listened;3;got to get better in a little while (with j. j. cale);eric clapton;93;
user_study_participant_2;1;Listened;4;i go to sleep;cher;75;
user_study_participant_2;1;Listened;5;havin' a party;southside johnny and the asbury jukes;97;
user_study_participant_2;1;Listened;6;you go to my head;gene ammons;9;
user_study_participant_2;1;Listened;7;mohammed's radio;warren zevon;86;
user_study_participant_2;1;Listened;8;stormy;santana;44;
user_study_participant_2;1;Listened;9;end of the night;the doors;66;
user_study_participant_2;1;Listened;10;car radio;twenty one pilots;61;
user_study_participant_2;1;Recommended;1;money;mat kearney;0;0,0
user_study_participant_2;1;Recommended;2;someone could lose a heart tonight;eddie rabbitt;0;0,0
user_study_participant_2;1;Recommended;3;in my life;crosby, stills & nash;0;1,0
user_study_participant_2;1;Recommended;4;loungin (who do ya luv);ll cool j;0;0,0
user_study_participant_2;1;Recommended;5;get the balance right!;depeche mode;7;0,0
user_study_participant_2;1;Recommended;6;it's only right;wallows;0;0,0
user_study_participant_2;1;Recommended;7;i don't mind;badfinger;0;0,0
user_study_participant_2;1;Recommended;8;start a fyah;chronixx;3;0,0
user_study_participant_2;1;Recommended;9;i overlooked an orchid;mickey gilley;0;0,0
user_study_participant_2;1;Recommended;10;the bells;laura nyro;3;0,0
user_study_participant_3;1;Listened;1;workin me;quavo;81;
user_study_participant_3;1;Listened;2;just a dream;jimmy clanton;84;
user_study_participant_3;1;Listened;3;alone;the green;39;
user_study_participant_3;1;Listened;4;wallflower;peter gabriel;100;
user_study_participant_3;1;Listened;5;so much in love;timothy b. schmit;55;
user_study_participant_3;1;Listened;6;106 beats that;wire;35;
user_study_participant_3;1;Listened;7;do you hear me now;bert jansch;30;
user_study_participant_3;1;Listened;8;how are you true;cage the elephant;81;
user_study_participant_3;1;Listened;9;my mic sounds nice;salt-n-pepa;98;
user_study_participant_3;1;Listened;10;island;heather nova;59;
user_study_participant_3;1;Recommended;1;look at her go (feat. chris brown);t-pain;10;0,0
user_study_participant_3;1;Recommended;2;the big crash;eddie money;2;0,0
user_study_participant_3;1;Recommended;3;relax, take it easy;mika;1;0,0
user_study_participant_3;1;Recommended;4;factory;the vines;0;0,0
user_study_participant_3;1;Recommended;5;you're my world;helen reddy;1;0,0
user_study_participant_3;1;Recommended;6;heartbeat;the knack;0;0,0
user_study_participant_3;1;Recommended;7;all stood still;ultravox;3;1,0
user_study_participant_3;1;Recommended;8;mohabbat bhi jhoothi;mukesh;2;0,0
user_study_participant_3;1;Recommended;9;the old crossroads;ricky skaggs;0;0,0
user_study_participant_3;1;Recommended;10;anodyne;uncle tupelo;0;0,0
user_study_participant_4;1;Listened;1;lonesome town;the ventures;59;
user_study_participant_4;1;Listened;2;it don't mean a thing;proleter;71;
user_study_participant_4;1;Listened;3;goodbye yesterday;jimmy cliff;37;
user_study_participant_4;1;Listened;4;messenger;tesseract;87;
user_study_participant_4;1;Listened;5;two night town;jason aldean;67;
user_study_participant_4;1;Listened;6;use it or lose it;mötley crüe;65;
user_study_participant_4;1;Listened;7;i've got no time to lose;carla thomas;52;
user_study_participant_4;1;Listened;8;pretty girl;maggie lindemann;61;
user_study_participant_4;1;Listened;9;give it away;ziggy marley;28;
user_study_participant_4;1;Listened;10;without the one you love;aretha franklin;77;
user_study_participant_4;1;Recommended;1;make him a soldier;the louvin brothers;1;0,0
user_study_participant_4;1;Recommended;2;long dark road;the hollies;0;0,0
user_study_participant_4;1;Recommended;3;mama this one's for you;beth hart;0;0,0
user_study_participant_4;1;Recommended;4;lovers never say goodbye;the flamingos;28;0,0
user_study_participant_4;1;Recommended;5;someone could lose a heart tonight;eddie rabbitt;0;0,0
user_study_participant_4;1;Recommended;6;had to fall in love;the moody blues;15;1,0
user_study_participant_4;1;Recommended;7;brave man's death;j. roddy walston & the business;0;0,0
user_study_participant_4;1;Recommended;8;tyler;ub40;0;0,0
user_study_participant_4;1;Recommended;9;senses working overtime;xtc;58;1,0
user_study_participant_4;1;Recommended;10;mother's last word to her son;washington phillips;4;1,0
user_study_participant_5;1;Listened;1;don’t let me be lonely;the band perry;69;
user_study_participant_5;1;Listened;2;long time gone;darrell scott;60;
user_study_participant_5;1;Listened;3;the lion's share;dan fogelberg;59;
user_study_participant_5;1;Listened;4;paradise;resinated;95;
user_study_participant_5;1;Listened;5;embraceable you;johnny mathis;59;
user_study_participant_5;1;Listened;6;it's too late;robin trower;39;
user_study_participant_5;1;Listened;7;the wind goes;marty robbins;32;
user_study_participant_5;1;Listened;8;toys in the attic;aerosmith;29;
user_study_participant_5;1;Listened;9;an empty glass (that's the way the day ends);randy rogers band;63;
user_study_participant_5;1;Listened;10;dreams of tomorrow;lonnie liston smith;59;
user_study_participant_5;1;Recommended;1;let it rain;warrant;1;0,0
user_study_participant_5;1;Recommended;2;carolina moon;the chordettes;0;0,0
user_study_participant_5;1;Recommended;3;my guy;mary wells;1;0,0
user_study_participant_5;1;Recommended;4;an eye for an eye;ray price;3;0,0
user_study_participant_5;1;Recommended;5;nice & warm;jonny lang;3;0,0
user_study_participant_5;1;Recommended;6;it's supposed to bubble;ugk;0;0,0
user_study_participant_5;1;Recommended;7;use your heart;swv;0;0,0
user_study_participant_5;1;Recommended;8;astronaut's nightmare;nektar;0;0,0
user_study_participant_5;1;Recommended;9;la goutte d'or;st germain;0;1,0
user_study_participant_5;1;Recommended;10;echo's answer;broadcast;0;0,0
user_study_participant_6;1;Listened;1;high sierra;dolly parton;74;
user_study_participant_6;1;Listened;2;the judgment;the allman brothers band;95;
user_study_participant_6;1;Listened;3;pull me under;dream theater;76;
user_study_participant_6;1;Listened;4;somewhere down the line;t.g. sheppard;61;
user_study_participant_6;1;Listened;5;with a little luck;wings;38;
user_study_participant_6;1;Listened;6;dear mother;jimmy cliff;67;
user_study_participant_6;1;Listened;7;pop;*nsync;85;
user_study_participant_6;1;Listened;8;calm inside the storm;cyndi lauper;61;
user_study_participant_6;1;Listened;9;dark entries;bauhaus;99;
user_study_participant_6;1;Listened;10;stuck in the metal;eagles of death metal;80;
user_study_participant_6;1;Recommended;1;sunrise;tesseract;1;0,0
user_study_participant_6;1;Recommended;2;caroline, no;the beach boys;0;0,0
user_study_participant_6;1;Recommended;3;bye bye baby;bonnie raitt;1;0,0
user_study_participant_6;1;Recommended;4;got you on my mind;jean shepard;0;0,0
user_study_participant_6;1;Recommended;5;la goutte d'or;st germain;0;0,0
user_study_participant_6;1;Recommended;6;these stones will shout;the raconteurs;0;0,0
user_study_participant_6;1;Recommended;7;a tale of 2 citiez;j. cole;0;0,0
user_study_participant_6;1;Recommended;8;take on me;weezer;2;0,0
user_study_participant_6;1;Recommended;9;free;mazzy star;13;1,0
user_study_participant_6;1;Recommended;10;she makes me feel so good;lyle lovett;0;0,0
user_study_participant_7;1;Listened;1;i overlooked an orchid;carl smith;54;
user_study_participant_7;1;Listened;2;i concentrate on you;ella fitzgerald;67;
user_study_participant_7;1;Listened;3;i get excited;rick springfield;95;
user_study_participant_7;1;Listened;4;your light;scorpions;84;
user_study_participant_7;1;Listened;5;my happiness;prince buster;49;
user_study_participant_7;1;Listened;6;do you love as good as you look;the bellamy brothers;47;
user_study_participant_7;1;Listened;7;promise;jagged edge;38;
user_study_participant_7;1;Listened;8;so long baby;bobby day;59;
user_study_participant_7;1;Listened;9;brand name;mac miller;68;
user_study_participant_7;1;Listened;10;i could fall in love;selena;99;
user_study_participant_7;1;Recommended;1;strange overtones;david byrne;8;0,0
user_study_participant_7;1;Recommended;2;replica;fear factory;0;0,0
user_study_participant_7;1;Recommended;3;keep up;the expendables;0;0,0
user_study_participant_7;1;Recommended;4;guinevere;donovan;66;1,0
user_study_participant_7;1;Recommended;5;astronaut's nightmare;nektar;0;0,0
user_study_participant_7;1;Recommended;6;stardust;louis armstrong;0;0,0
user_study_participant_7;1;Recommended;7;night train;the kills;0;0,0
user_study_participant_7;1;Recommended;8;my fault;imagine dragons;0;0,0
user_study_participant_7;1;Recommended;9;wang dang sweet poontang;ted nugent;0;0,0
user_study_participant_7;1;Recommended;10;christmas-a-come;eek-a-mouse;18;1,0
user_study_participant_8;1;Listened;1;the cape;guy clark;100;
user_study_participant_8;1;Listened;2;paper boy;johnny cooper;59;
user_study_participant_8;1;Listened;3;the dam at otter creek;live;49;
user_study_participant_8;1;Listened;4;little jeannie;elton john;82;
user_study_participant_8;1;Listened;5;downside of growing up;maddie & tae;78;
user_study_participant_8;1;Listened;6;nothing lasts;bedroom;67;
user_study_participant_8;1;Listened;7;it's you or no one;chet baker;91;
user_study_participant_8;1;Listened;8;million dollar bill;middle brother;49;
user_study_participant_8;1;Listened;9;i like drinking, cause it's fun;chase rice;100;
user_study_participant_8;1;Listened;10;broke down;radio moscow;98;
user_study_participant_8;1;Recommended;1;don't drink the piss;mad professor;2;0,0
user_study_participant_8;1;Recommended;2;the color song (i lost my love);jean shepard;1;0,0
user_study_participant_8;1;Recommended;3;come back to bed;john mayer;0;0,0
user_study_participant_8;1;Recommended;4;18th & m;marcus johnson;2;0,0
user_study_participant_8;1;Recommended;5;stop, look, listen (to your heart);diana ross;1;0,0
user_study_participant_8;1;Recommended;6;your cheatin' heart;leon redbone;1;0,0
user_study_participant_8;1;Recommended;7;i won't back down;johnny cash;25;1,0
user_study_participant_8;1;Recommended;8;ride;twenty one pilots;0;0,0
user_study_participant_8;1;Recommended;9;divine intervention;matthew sweet;1;0,0
user_study_participant_8;1;Recommended;10;tyrant;judas priest;5;0,0
user_study_participant_9;1;Listened;1;dry county;blackfoot;64;
user_study_participant_9;1;Listened;2;yesterday;gladys knight & the pips;33;
user_study_participant_9;1;Listened;3;don't put your hands on me;boyz n da hood;58;
user_study_participant_9;1;Listened;4;cole world;j. cole;44;
user_study_participant_9;1;Listened;5;an everlasting love;andy gibb;72;
user_study_participant_9;1;Listened;6;when mama was moth;cocteau twins;94;
user_study_participant_9;1;Listened;7;passion;shirley brown;93;
user_study_participant_9;1;Listened;8;feel it;the crusaders;56;
user_study_participant_9;1;Listened;9;happy days are here again;barbra streisand;69;
user_study_participant_9;1;Listened;10;prisoner of love;the platters;65;
user_study_participant_9;1;Recommended;1;in the arms of love;merle haggard;0;0,0
user_study_participant_9;1;Recommended;2;i palindrome i;they might be giants;0;0,0
user_study_participant_9;1;Recommended;3;suicide's an alternative / you'll be sorry;suicidal tendencies;0;0,0
user_study_participant_9;1;Recommended;4;i'm holdin' on to love (to save my life);shania twain;0;0,0
user_study_participant_9;1;Recommended;5;la goutte d'or;st germain;0;0,0
user_study_participant_9;1;Recommended;6;dread a who she love;macka b;5;0,0
user_study_participant_9;1;Recommended;7;lonesome valley;the carter family;1;0,0
user_study_participant_9;1;Recommended;8;pimpin';tony yayo;1;0,0
user_study_participant_9;1;Recommended;9;bring it to jerome;manfred mann;0;0,0
user_study_participant_9;1;Recommended;10;who am i?;nina simone;0;0,0
user_study_participant_10;1;Listened;1;awake;black rebel motorcycle club;57;
user_study_participant_10;1;Listened;2;limbo rock;chubby checker;67;
user_study_participant_10;1;Listened;3;run of the mill;george harrison;62;
user_study_participant_10;1;Listened;4;solitaire;neil sedaka;93;
user_study_participant_10;1;Listened;5;would you mind;earth, wind & fire;73;
user_study_participant_10;1;Listened;6;i heard that lonesome whistle;johnny cash;80;
user_study_participant_10;1;Listened;7;vampire;peter tosh;62;
user_study_participant_10;1;Listened;8;title and registration;death cab for cutie;45;
user_study_participant_10;1;Listened;9;country ghetto;jj grey & mofro;94;
user_study_participant_10;1;Listened;10;remind me to forget;kygo;54;
user_study_participant_10;1;Recommended;1;island boy;kenny chesney;0;0,0
user_study_participant_10;1;Recommended;2;welcome to jamrock;damian marley;1;0,0
user_study_participant_10;1;Recommended;3;astronaut's nightmare;nektar;0;0,0
user_study_participant_10;1;Recommended;4;black keys;jonas brothers;1;0,0
user_study_participant_10;1;Recommended;5;jah is the one;horace andy;2;0,0
user_study_participant_10;1;Recommended;6;childish love;the louvin brothers;0;0,0
user_study_participant_10;1;Recommended;7;the last time (i get burned like this);robert cray;1;0,0
user_study_participant_10;1;Recommended;8;girl next door;long beach shortbus;0;0,0
user_study_participant_10;1;Recommended;9;the conjuring;megadeth;1;0,0
user_study_participant_10;1;Recommended;10;ghost town;adam lambert;3;0,0
user_study_participant_1;2;Listened;1;keepin' it to myself;average white band;45;
user_study_participant_1;2;Listened;2;leave a tender moment alone;billy joel;22;
user_study_participant_1;2;Listened;3;minerva;deftones;67;
user_study_participant_1;2;Listened;4;whatever lola wants;ella fitzgerald;86;
user_study_participant_1;2;Listened;5;julia;the beatles;63;
user_study_participant_1;2;Listened;6;echo;black rebel motorcycle club;49;
user_study_participant_1;2;Listened;7;i loved you yesterday;lyle lovett;79;
user_study_participant_1;2;Listened;8;violin;kate bush;97;
user_study_participant_1;2;Listened;9;she took a lot of pills (and died);robbie fulks;40;
user_study_participant_1;2;Listened;10;origin;tesseract;46;
user_study_participant_1;2;Recommended;1;i beg of you;the allman brothers band;0;0,0
user_study_participant_1;2;Recommended;2;falling;julee cruise;0;0,0
user_study_participant_1;2;Recommended;3;ice cream man;the modern lovers;0;0,0
user_study_participant_1;2;Recommended;4;crossover;epmd;0;0,0
user_study_participant_1;2;Recommended;5;blue tarp blues;sonny landreth;0;0,0
user_study_participant_1;2;Recommended;6;on the atchison, topeka & the sante fe;johnny mercer;0;0,0
user_study_participant_1;2;Recommended;7;drowning on dry land/fish soup;manfred mann's earth band;0;0,0
user_study_participant_1;2;Recommended;8;my fault;imagine dragons;0;1,0
user_study_participant_1;2;Recommended;9;action;terror fabulous;0;0,0
user_study_participant_1;2;Recommended;10;a maiden's prayer;ray price;0;0,0
user_study_participant_2;2;Listened;1;marry the night;lady gaga;59;
user_study_participant_2;2;Listened;2;down on my knees;bread;41;
user_study_participant_2;2;Listened;3;danger at my door;mark chesnutt;54;
user_study_participant_2;2;Listened;4;monkey see, monkey do;the budos band;81;
user_study_participant_2;2;Listened;5;exit strategy of a wrecking ball;diablo swing orchestra;35;
user_study_participant_2;2;Listened;6;is it true what they say about dixie?;dean martin;80;
user_study_participant_2;2;Listened;7;out of reach;john mayall & the bluesbreakers;67;
user_study_participant_2;2;Listened;8;miner's prayer;dwight yoakam;62;
user_study_participant_2;2;Listened;9;4th of july;soundgarden;75;
user_study_participant_2;2;Listened;10;the heart of life;john mayer;85;
user_study_participant_2;2;Recommended;1;anodyne;uncle tupelo;0;0,0
user_study_participant_2;2;Recommended;2;action;terror fabulous;0;0,0
user_study_participant_2;2;Recommended;3;it don't bother me;bert jansch;0;1,0
